#id;characters;meanings;firstReading;readings;partsOfSpeech;level;url
2538;下手;Unskillful, Unskilled, Bad At, Not Good At, Not Skilled;へた;へた;noun, な adjective;2;https://www.wanikani.com/vocabulary/%E4%B8%8B%E6%89%8B
2521;中々;Very, Considerably, Quite;なかなか;なかなか;adverb;2;https://www.wanikani.com/vocabulary/%E4%B8%AD%E3%80%85
7668;大いに;Very, Much, Greatly, A Lot Of, Very Much;おおいに;おおいに;adverb;2;https://www.wanikani.com/vocabulary/%E5%A4%A7%E3%81%84%E3%81%AB-7668
2549;火山;Volcano;かざん;かざん;noun;2;https://www.wanikani.com/vocabulary/%E7%81%AB%E5%B1%B1
2547;水;Water;みず;みず;noun;2;https://www.wanikani.com/vocabulary/%E6%B0%B4
2581;白;White;しろ;しろ;noun;2;https://www.wanikani.com/vocabulary/%E7%99%BD
2540;文;Writing, Sentence;ぶん;ぶん;noun;2;https://www.wanikani.com/vocabulary/%E6%96%87
2519;〜才;Years Old, Age;さい;さい;suffix;2;https://www.wanikani.com/vocabulary/%E3%80%9C%E6%89%8D
2608;少ない;A Few, Few, Scarce, Not Much, Not Many;すくない;すくない;い adjective;3;https://www.wanikani.com/vocabulary/%E5%B0%91%E3%81%AA%E3%81%84
2607;少し;A Little, A Few, Few;すこし;すこし;adverb, noun;3;https://www.wanikani.com/vocabulary/%E5%B0%91%E3%81%97
2478;アメリカ人;American, American Person;あめりかじん;あめりかじん, アメリカじん;noun;3;https://www.wanikani.com/vocabulary/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E4%BA%BA
2643;矢;Arrow;や;や;noun;3;https://www.wanikani.com/vocabulary/%E7%9F%A2
7455;〜台;Big Machine, Big Device, Machine, Device, Machine Counter, Number Of Machines;だい;だい;counter, suffix;3;https://www.wanikani.com/vocabulary/%E3%80%9C%E5%8F%B0
3936;イギリス人;British Person, Brit;いぎりすじん;いぎりすじん, イギリスじん;noun;3;https://www.wanikani.com/vocabulary/%E3%82%A4%E3%82%AE%E3%83%AA%E3%82%B9%E4%BA%BA
2635;市;City;し;し;noun, suffix;3;https://www.wanikani.com/vocabulary/%E5%B8%82
2619;牛;Cow;うし;うし;noun;3;https://www.wanikani.com/vocabulary/%E7%89%9B
2611;戸口;Doorway;とぐち;とぐち;noun;3;https://www.wanikani.com/vocabulary/%E6%88%B8%E5%8F%A3
8957;山びこ;Echo, Mountain Echo;やまびこ;やまびこ;noun;3;https://www.wanikani.com/vocabulary/%E5%B1%B1%E3%81%B3%E3%81%93
2633;外れ;Extremity, Furthest Point, End, Outskirts, Outer Limits, Edge, Miss, Failure;はずれ;はずれ;noun, suffix;3;https://www.wanikani.com/vocabulary/%E5%A4%96%E3%82%8C
2605;太い;Fat, Thick;ふとい;ふとい;い adjective;3;https://www.wanikani.com/vocabulary/%E5%A4%AA%E3%81%84
2617;父;Father, Dad;ちち;ちち;noun;3;https://www.wanikani.com/vocabulary/%E7%88%B6
2618;お父さん;Father, Dad, Papa;おとうさん;おとうさん;noun;3;https://www.wanikani.com/vocabulary/%E3%81%8A%E7%88%B6%E3%81%95%E3%82%93
2629;五台;Five Machines;ごだい;ごだい;noun;3;https://www.wanikani.com/vocabulary/%E4%BA%94%E5%8F%B0
2632;外人;Foreigner, Outsider;がいじん;がいじん;noun;3;https://www.wanikani.com/vocabulary/%E5%A4%96%E4%BA%BA
2479;フランス人;Frenchman, French Person;ふらんすじん;ふらんすじん, フランスじん;noun;3;https://www.wanikani.com/vocabulary/%E3%83%95%E3%83%A9%E3%83%B3%E3%82%B9%E4%BA%BA
2579;生;Fresh, Raw, Live;なま;なま;noun, の adjective;3;https://www.wanikani.com/vocabulary/%E7%94%9F
2604;友人;Friend;ゆうじん;ゆうじん;noun;3;https://www.wanikani.com/vocabulary/%E5%8F%8B%E4%BA%BA
2616;毛;Fur, Hair;け;け;noun;3;https://www.wanikani.com/vocabulary/%E6%AF%9B
7518;少女;Girl, Young Lady;しょうじょ;しょうじょ;noun;3;https://www.wanikani.com/vocabulary/%E5%B0%91%E5%A5%B3
2642;公用;Government Business, Official Business;こうよう;こうよう;noun;3;https://www.wanikani.com/vocabulary/%E5%85%AC%E7%94%A8
2597;半分;Half;はんぶん;はんぶん;noun;3;https://www.wanikani.com/vocabulary/%E5%8D%8A%E5%88%86
2624;半;Half;はん;はん;noun, prefix;3;https://www.wanikani.com/vocabulary/%E5%8D%8A
2610;心;Heart, Mind, Feeling;こころ;こころ;noun;3;https://www.wanikani.com/vocabulary/%E5%BF%83
7564;今日は;Hello, Good Day;こんにちは;こんにちは;interjection;3;https://www.wanikani.com/vocabulary/%E4%BB%8A%E6%97%A5%E3%81%AF-7564
2602;大切;Important, Precious, Valuable;たいせつ;たいせつ;noun, な adjective;3;https://www.wanikani.com/vocabulary/%E5%A4%A7%E5%88%87
5389;内;Inside, Within;うち;うち;noun, の adjective;3;https://www.wanikani.com/vocabulary/%E5%86%85
8734;戸;Japanese Style Door, Door;と;と;noun;3;https://www.wanikani.com/vocabulary/%E6%88%B8
2574;ビー玉;Marble;びーだま;びーだま, ビーだま;noun;3;https://www.wanikani.com/vocabulary/%E3%83%93%E3%83%BC%E7%8E%89
2600;分;Minute, Part, Portion ;ふん;ふん, ぶん;noun, prefix, suffix;3;https://www.wanikani.com/vocabulary/%E5%88%86
2639;母;Mother, Mom;はは;はは;noun;3;https://www.wanikani.com/vocabulary/%E6%AF%8D
2640;お母さん;Mother, Mom;おかあさん;おかあさん;noun;3;https://www.wanikani.com/vocabulary/%E3%81%8A%E6%AF%8D%E3%81%95%E3%82%93
2636;市立;Municipal, City;しりつ;しりつ;noun, の adjective;3;https://www.wanikani.com/vocabulary/%E5%B8%82%E7%AB%8B
2623;北;North;きた;きた;noun;3;https://www.wanikani.com/vocabulary/%E5%8C%97
2593;今;Now;いま;いま;noun;3;https://www.wanikani.com/vocabulary/%E4%BB%8A
7465;〜人;Number Of People, People, Counter For People;にん;にん;counter;3;https://www.wanikani.com/vocabulary/%E3%80%9C%E4%BA%BA
8659;大人しい;Obedient, Docile, Quiet;おとなしい;おとなしい;い adjective;3;https://www.wanikani.com/vocabulary/%E5%A4%A7%E4%BA%BA%E3%81%97%E3%81%84
2625;古い;Old, Ancient, Out-Of-Date;ふるい;ふるい;い adjective;3;https://www.wanikani.com/vocabulary/%E5%8F%A4%E3%81%84
8959;テーブルの上;On The Table, Tabletop;てーぶるのうえ;てーぶるのうえ, テーブルのうえ;expression;3;https://www.wanikani.com/vocabulary/%E3%83%86%E3%83%BC%E3%83%96%E3%83%AB%E3%81%AE%E4%B8%8A
2590;十万;One Hundred Thousand, Hundred Thousand;じゅうまん;じゅうまん;numeral;3;https://www.wanikani.com/vocabulary/%E5%8D%81%E4%B8%87
2627;一台;One Machine;いちだい;いちだい;noun;3;https://www.wanikani.com/vocabulary/%E4%B8%80%E5%8F%B0
3407;人生;One's Life, Human Life, Life;じんせい;じんせい;noun;3;https://www.wanikani.com/vocabulary/%E4%BA%BA%E7%94%9F
2596;元;Origin, Ex, Former;もと;もと;noun, prefix;3;https://www.wanikani.com/vocabulary/%E5%85%83
2631;外;Outside;そと;そと;noun;3;https://www.wanikani.com/vocabulary/%E5%A4%96
2637;シアトル市;Seattle, City Of Seattle;しあとるし;しあとるし, シアトルし;proper noun;3;https://www.wanikani.com/vocabulary/%E3%82%B7%E3%82%A2%E3%83%88%E3%83%AB%E5%B8%82
2626;中古;Secondhand, Used, Second Hand;ちゅうこ;ちゅうこ;noun, の adjective;3;https://www.wanikani.com/vocabulary/%E4%B8%AD%E5%8F%A4
2615;中止;Suspension, Cancellation, Stoppage, Discontinuance, Interruption;ちゅうし;ちゅうし;noun, する verb;3;https://www.wanikani.com/vocabulary/%E4%B8%AD%E6%AD%A2
7669;用;Task, Use, Duty, Service, Business, Purpose;よう;よう;noun, suffix;3;https://www.wanikani.com/vocabulary/%E7%94%A8
2630;十台;Ten Machines;じゅうだい;じゅうだい;noun;3;https://www.wanikani.com/vocabulary/%E5%8D%81%E5%8F%B0
2588;一万;Ten Thousand;いちまん;いちまん;numeral;3;https://www.wanikani.com/vocabulary/%E4%B8%80%E4%B8%87
7519;万;Ten Thousand;まん;まん;numeral;3;https://www.wanikani.com/vocabulary/%E4%B8%87
2595;今月;This Month, Current Month;こんげつ;こんげつ;noun;3;https://www.wanikani.com/vocabulary/%E4%BB%8A%E6%9C%88
2576;生まれる;To Be Born;うまれる;うまれる;intransitive verb, ichidan verb;3;https://www.wanikani.com/vocabulary/%E7%94%9F%E3%81%BE%E3%82%8C%E3%82%8B
